parameter,description,units,baseline,lower,upper,class,source,source_type,rationale,transformed,simulation_role,uncertainty,notes
d_T,uninfected target-cell death rate,1/day,0.01,0.005,0.02,literature,Kadelka et al. PLoS Comput Biol 2024 PMID:38900725 PMC11189221,human/in vivo modeling,Fixed at 0.01/day in acute-HIV fits of 43 participants,no,fixed,reported,Also standard in Stafford/Perelson-type models; not tuned to the circuit.
T0,pre-infection effective susceptible density,cells/mL,1000000.0,200000.0,5000000.0,literature,Kadelka et al. 2024 PMID:38900725; assumes 1/1000 cells are targets,human/in vivo modeling,Effective-compartment scale not whole-body CD4 count,no,fixed,model-dependent,Do not interpret as all circulating CD4 cells.
lambda_T,target-cell supply rate,cells/mL/day,10000.0,2000.0,50000.0,literature,derived: lambda_T = d_T * T0 (Kadelka 2024 equilibrium assumption),derived from literature,Pre-infection equilibrium,yes,derived,model-dependent,If T0 or d_T change in a new baseline file recompute lambda_T.
delta_I,productively infected cell loss rate,1/day,0.7,0.4,1.5,literature,Ikeda et al. 2014 PMID:24886060 typical sim 0.7; mouse fit mean 0.61 range ~0.3-0.76; Perelson 1996 PMID:8599114 lifespan 2.2d => ~0.45,mixed human/mouse/model,Cluster of published estimates; baseline is the commonly used simulation value not a secret fit,no,fixed,model-dependent,Range spans 1996 human treatment-perturbation and later acute estimates.
p,viral production per productively infected cell,virions/cell/day,4000.0,1000.0,50000.0,literature,Ikeda et al. 2014 typical p=4000 used with c=23; Chen et al. PNAS 2007 PMID:18000036 burst ~5e4 virions/cell (SIV) as upper uncertainty,mixed,v1 uses the internally consistent (p c) pair from Ikeda methods not a retune to burst size,no,fixed,model-dependent,Infectious fraction unknown; p is RNA-like production in the effective model.
c,free virion clearance,1/day,23.0,9.1,36.0,literature,Ramratnam et al. Lancet 1999 PMID:10577640 apheresis c=9.1-36 mean ~23,human in vivo,Modern plasma-clearance estimate,no,fixed,reported,Perelson 1996 implied lower effective c; that discrepancy is why the range is carried.
k_E,eclipse-to-productive transition,1/day,1.0,0.5,2.0,literature,Perelson et al. 1996 min lifecycle 1.2d generation 2.6d; Ribeiro et al. 2010 PMID:20357090 24h eclipse in R0 calc,human in vivo modeling,Mean eclipse ~1 day,no,fixed,model-dependent,Maps a delay; not a single-cell live-imaging rate.
R0_target,acute basic reproduction number used only to derive beta,dimensionless,8.0,4.9,11.0,literature,Ribeiro et al. J Virol 2010 PMID:20357090 median 8.0 IQR 4.9-11 (47 plasma donors),human in vivo,NOT a circuit-tuning target,no,derived_input,reported,Little et al. 1999 JEM mean R0 7.1 without delay or 19.3 with 24h delay — alternative mapping.
beta,mass-action infection constant at F=1,mL/virion/day,3.22e-08,1.0e-08,1.0e-07,literature,derived: beta = R0 * c * delta_I / (T0 * p) with F(Rs0)~1,derived from literature,Derived from frozen Class A numbers and Ribeiro median R0. Not adjusted after seeing circuit figures.,yes,derived,model-dependent,If F(Rs0) is not ~1 recompute; v1 high-CD4 Hill keeps F(Rs0)~1.
Rs5_0,baseline surface CCR5,molecules/cell,10000.0,4000.0,20000.0,literature,Reynes et al. J Infect Dis 2000 PMID:10720514 quantitative FACS on CD4 T cells (examples ~4e3-1.9e4; 5-fold inter-individual range),human ex vivo,Representative CCR5+ CD4 density not a population mean of all CD4 cells,no,fixed,reported,Reynes measured CCR5+ CD4 cells; many CD4 cells are CCR5-negative.
